cell_id,cycle,height_mean,height_std,height_median,roughness_mean,roughness_std,roughness_median,length_mean,length_std,length_median,wideth_mean,wideth_std,wideth_median,adhesion_mean,adhesion_std,adhesion_median,elastic_modulus_mean,elastic_modulus_std,elastic_modulus_median
238,P8,2.0949999999999998,0.023936319024048962,2.099,139.655,14.844508997215806,141.75,90.56649999999999,0.30213756016616056,90.575,28.7335,0.6868790976124107,28.795,528.28,5.493019493675078,526.9000000000001,5.721500000000001,0.2799271521776976,5.7115
239,P8,2.2864,0.03983835760723726,2.2925,146.655,19.545560136579137,141.0,99.5645,0.528896318562977,99.44999999999999,32.4775,0.28506462794472265,32.46,586.1,8.487576059654549,586.8,4.8148,0.4024516446926132,4.929
240,P8,2.8751,0.07951491088237199,2.9059999999999997,169.13,20.759629344627424,169.35,97.5275,0.2676776340852362,97.54499999999999,33.696,0.2289886230223776,33.695,545.0649999999999,6.799247249357437,544.75,4.34765,0.46177657789751203,4.2485
241,P8,2.225,0.08634508488738996,2.2535,149.59,18.600308429814017,147.8,83.4615,0.24696633054133155,83.41499999999999,21.512,0.30667315019843533,21.435000000000002,586.8199999999999,4.282227654411946,587.25,2.9025,0.2519150859442836,2.933
242,P8,2.2573,0.07771344122716761,2.2605,139.26000000000002,17.4672746646558,134.2,89.4365,0.29933742622138143,89.38,38.6605,0.27778209938158716,38.644999999999996,592.725,3.3265874722493094,593.9,4.2941,0.06492497694708078,4.2940000000000005
243,P8,2.30645,0.022623869555940538,2.318,165.5585,10.787212836941421,165.85000000000002,96.644,0.37977001350540596,96.625,34.482,0.29470056167681663,34.41,585.6949999999999,9.233946239712164,581.95,6.13005,0.22217382360380977,6.079
244,P8,2.65385,0.03022420605374024,2.657,157.755,19.25290067004258,160.5,124.44500000000001,0.2999561371442924,124.5,28.2605,0.1811796142825652,28.22,512.085,7.538900869210939,509.0,6.0474000000000006,0.4279701662007466,5.973
245,P8,2.0413,0.028875595231960066,2.0515,171.525,22.666457364874734,171.5,95.82849999999999,0.975307104131011,96.005,41.808,0.6598373005202884,41.555,492.39,5.322731787739324,491.55,4.8565,0.32361892794815883,4.885
246,P8,2.65415,0.1699839853137875,2.7075,156.325,16.224895588018597,158.45,108.26500000000001,0.36458339598996975,108.3,39.4065,0.2334923643516561,39.36,594.6949999999999,6.216232993668948,594.6,5.21145,0.6545443151737821,5.215
247,P8,1.8281500000000002,0.023074878114521007,1.8325,104.23499999999999,10.316174066407624,103.6,106.16,0.36763826614872663,106.2,34.4645,0.2901628399437299,34.53,570.92,22.930343032299934,578.3,6.12155,0.3430196365408714,6.164
248,P8,2.2922000000000002,0.058046805070971645,2.306,133.41,18.530966969969626,132.85,102.50999999999999,0.3972272318009055,102.5,40.3295,0.39784253695466787,40.425,533.92,6.1648067370569795,535.8,5.111,0.20390942261597145,5.1015
249,P8,2.6087499999999997,0.059462394130992365,2.5905,125.08,17.887914179249925,120.55,106.2,0.321182027418787,106.2,28.509500000000003,0.30156565140158653,28.47,510.66999999999996,4.158833338430619,510.05,6.13485,0.20471990492788944,6.093999999999999
250,P8,2.3822,0.06118616974791816,2.392,258.11,56.69403477392811,242.95,94.428,0.3784956371854555,94.49,29.615,0.3099490620289607,29.605,573.585,3.153323226125267,573.1,4.883,0.3134285782825341,4.8225
251,P8,2.1832000000000003,0.019712672920844984,2.1875,148.41,31.309909310833717,141.5,87.55449999999999,0.3043798700031843,87.69,32.513,0.2505593742010061,32.540000000000006,523.53,3.663777170884543,522.9,5.6162,0.2656754252446913,5.6185
252,P8,2.4427,0.06496646908416036,2.4575,221.18,30.989227330256487,233.9,97.5845,0.2380286360481651,97.52,32.673500000000004,0.2558427765558159,32.685,521.3399999999999,3.770997355161044,521.1,5.5633,0.32590071138954335,5.506500000000001
